0:0:0:0:0:0:0:1 - - [21/Apr/2015:15:54:02 +0700] "GET /cit/checkstatus/192.168.1.136/-6efa82e22c70f72154a6b3efcfa8a7d0 HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [21/Apr/2015:15:54:23 +0700] "GET /cit/checkstatus/192.168.0.17/-6efa82e22c70f72154a6b3efcfa8a7d0 HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [21/Apr/2015:15:54:24 +0700] "GET /cit/checkstatus/192.168.1.129/-6efa82e22c70f72154a6b3efcfa8a7d0 HTTP/1.1" 200 4
127.0.0.1 - - [21/Apr/2015:16:48:24 +0700] "GET / HTTP/1.1" 404 -
127.0.0.1 - - [21/Apr/2015:16:48:24 +0700] "GET / HTTP/1.1" 404 -
127.0.0.1 - - [21/Apr/2015:16:48:24 +0700] "GET / HTTP/1.1" 404 -
127.0.0.1 - - [21/Apr/2015:16:48:24 +0700] "GET / HTTP/1.1" 404 -
127.0.0.1 - - [21/Apr/2015:16:48:24 +0700] "GET / HTTP/1.1" 404 -
127.0.0.1 - - [21/Apr/2015:16:48:24 +0700] "GET / HTTP/1.1" 404 -
127.0.0.1 - - [21/Apr/2015:16:48:24 +0700] "GET / HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [21/Apr/2015:16:48:25 +0700] "GET /cit/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/Apr/2015:16:48:25 +0700] "GET /cit/login HTTP/1.1" 200 11167
0:0:0:0:0:0:0:1 - - [21/Apr/2015:16:48:29 +0700] "GET /cit/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/Apr/2015:16:48:29 +0700] "GET /cit/login HTTP/1.1" 200 11167
0:0:0:0:0:0:0:1 - - [21/Apr/2015:16:48:29 +0700] "GET /cit/resources/themes/default/js/jquery-2.1.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Apr/2015:16:48:29 +0700] "GET /cit/resources/themes/default/css/style-signin.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Apr/2015:16:48:29 +0700] "GET /cit/resources/themes/default/js/script.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Apr/2015:16:48:29 +0700] "GET /cit/resources/themes/default/plugins/contextmenu/context.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Apr/2015:16:48:29 +0700] "GET /cit/resources/themes/default/plugins/bootstrap/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Apr/2015:16:48:29 +0700] "GET /cit/resources/themes/default/js/context-server.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Apr/2015:16:48:29 +0700] "GET /cit/resources/themes/default/plugins/bootstrap/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Apr/2015:16:48:29 +0700] "GET /cit/resources/themes/default/plugins/contextmenu/context.standalone.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Apr/2015:16:48:29 +0700] "GET /cit/resources/themes/default/plugins/font-awesome-4.2.0/css/font-awesome.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Apr/2015:16:48:29 +0700] "GET /cit/resources/themes/default/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Apr/2015:16:48:29 +0700] "GET /cit/resources/themes/default/js/jquery-ui.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Apr/2015:16:48:36 +0700] "POST /cit/login HTTP/1.1" 500 124340
0:0:0:0:0:0:0:1 - - [21/Apr/2015:16:49:34 +0700] "GET /cit/ HTTP/1.1" 302 -
